slug;nom;famille;donnee;valeur;unite;source;supposee;alertes
plat-40x8mm-en-acier-lamine-a-chaud;Plat 40x8mm en acier laminé à chaud;plat;b;40;mm;nom du produit;;
plat-40x8mm-en-acier-lamine-a-chaud;Plat 40x8mm en acier laminé à chaud;plat;t;8;mm;nom du produit;;
plat-40x8mm-en-acier-lamine-a-chaud;Plat 40x8mm en acier laminé à chaud;plat;poids;2,58;kg/m;site actuel — fiche produit;;
plat-40x8mm-en-acier-lamine-a-chaud;Plat 40x8mm en acier laminé à chaud;plat;procede;Laminé à chaud;;site actuel — description de la fiche;;
plat-40x8mm-en-acier-lamine-a-chaud;Plat 40x8mm en acier laminé à chaud;plat;finition;BRUT;;vraie photo du site actuel (plats, groupes G026 et G028) — non affichée;oui;
plat-50x10mm-en-acier-lamine-a-chaud;Plat 50x10mm en acier laminé à chaud;plat;serie;PLAT;;nom du produit;;
plat-50x10mm-en-acier-lamine-a-chaud;Plat 50x10mm en acier laminé à chaud;plat;b;50;mm;nom du produit;;
plat-50x10mm-en-acier-lamine-a-chaud;Plat 50x10mm en acier laminé à chaud;plat;t;10;mm;nom du produit;;
plat-50x10mm-en-acier-lamine-a-chaud;Plat 50x10mm en acier laminé à chaud;plat;poids;4,03;kg/m;site actuel — fiche produit;;
plat-50x10mm-en-acier-lamine-a-chaud;Plat 50x10mm en acier laminé à chaud;plat;procede;Laminé à chaud;;site actuel — description de la fiche;;
plat-50x10mm-en-acier-lamine-a-chaud;Plat 50x10mm en acier laminé à chaud;plat;finition;BRUT;;vraie photo du site actuel (plats, groupes G026 et G028) — non affichée;oui;
plat-50x3mm-en-acier-lamine-a-chaud;Plat 50x3mm en acier laminé à chaud;plat;serie;PLAT;;nom du produit;;
plat-50x3mm-en-acier-lamine-a-chaud;Plat 50x3mm en acier laminé à chaud;plat;b;50;mm;nom du produit;;
plat-50x3mm-en-acier-lamine-a-chaud;Plat 50x3mm en acier laminé à chaud;plat;t;3;mm;nom du produit;;
plat-50x3mm-en-acier-lamine-a-chaud;Plat 50x3mm en acier laminé à chaud;plat;poids;1,21;kg/m;site actuel — fiche produit;;
plat-50x3mm-en-acier-lamine-a-chaud;Plat 50x3mm en acier laminé à chaud;plat;procede;Laminé à chaud;;site actuel — description de la fiche;;
plat-50x3mm-en-acier-lamine-a-chaud;Plat 50x3mm en acier laminé à chaud;plat;finition;BRUT;;vraie photo du site actuel (plats, groupes G026 et G028) — non affichée;oui;
plat-50x5mm-en-acier-lamine-a-chaud;Plat 50x5mm en acier laminé à chaud;plat;serie;PLAT;;nom du produit;;
plat-50x5mm-en-acier-lamine-a-chaud;Plat 50x5mm en acier laminé à chaud;plat;b;50;mm;nom du produit;;
plat-50x5mm-en-acier-lamine-a-chaud;Plat 50x5mm en acier laminé à chaud;plat;t;5;mm;nom du produit;;
plat-50x5mm-en-acier-lamine-a-chaud;Plat 50x5mm en acier laminé à chaud;plat;poids;2,02;kg/m;site actuel — fiche produit;;
plat-50x5mm-en-acier-lamine-a-chaud;Plat 50x5mm en acier laminé à chaud;plat;procede;Laminé à chaud;;site actuel — description de la fiche;;
plat-50x5mm-en-acier-lamine-a-chaud;Plat 50x5mm en acier laminé à chaud;plat;finition;BRUT;;vraie photo du site actuel (plats, groupes G026 et G028) — non affichée;oui;
plat-50x8mm-en-acier-lamine-a-chaud;Plat 50x8mm en acier laminé à chaud;plat;serie;PLAT;;nom du produit;;
plat-50x8mm-en-acier-lamine-a-chaud;Plat 50x8mm en acier laminé à chaud;plat;b;50;mm;nom du produit;;
plat-50x8mm-en-acier-lamine-a-chaud;Plat 50x8mm en acier laminé à chaud;plat;t;8;mm;nom du produit;;
plat-50x8mm-en-acier-lamine-a-chaud;Plat 50x8mm en acier laminé à chaud;plat;poids;3,22;kg/m;site actuel — fiche produit;;
plat-50x8mm-en-acier-lamine-a-chaud;Plat 50x8mm en acier laminé à chaud;plat;procede;Laminé à chaud;;site actuel — description de la fiche;;
plat-50x8mm-en-acier-lamine-a-chaud;Plat 50x8mm en acier laminé à chaud;plat;finition;BRUT;;vraie photo du site actuel (plats, groupes G026 et G028) — non affichée;oui;
plat-60x10mm-en-acier-lamine-a-chaud;Plat 60x10mm en acier laminé à chaud;plat;serie;PLAT;;nom du produit;;
plat-60x10mm-en-acier-lamine-a-chaud;Plat 60x10mm en acier laminé à chaud;plat;b;60;mm;nom du produit;;
plat-60x10mm-en-acier-lamine-a-chaud;Plat 60x10mm en acier laminé à chaud;plat;t;10;mm;nom du produit;;
plat-60x10mm-en-acier-lamine-a-chaud;Plat 60x10mm en acier laminé à chaud;plat;poids;4,82;kg/m;site actuel — fiche produit;;
plat-60x10mm-en-acier-lamine-a-chaud;Plat 60x10mm en acier laminé à chaud;plat;procede;Laminé à chaud;;site actuel — description de la fiche;;
plat-60x10mm-en-acier-lamine-a-chaud;Plat 60x10mm en acier laminé à chaud;plat;finition;BRUT;;vraie photo du site actuel (plats, groupes G026 et G028) — non affichée;oui;
plat-60x5mm-en-acier-lamine-a-chaud;Plat 60x5mm en acier laminé à chaud;plat;serie;PLAT;;nom du produit;;
plat-60x5mm-en-acier-lamine-a-chaud;Plat 60x5mm en acier laminé à chaud;plat;b;60;mm;nom du produit;;
plat-60x5mm-en-acier-lamine-a-chaud;Plat 60x5mm en acier laminé à chaud;plat;t;5;mm;nom du produit;;
plat-60x5mm-en-acier-lamine-a-chaud;Plat 60x5mm en acier laminé à chaud;plat;poids;2,42;kg/m;site actuel — fiche produit;;
plat-60x5mm-en-acier-lamine-a-chaud;Plat 60x5mm en acier laminé à chaud;plat;procede;Laminé à chaud;;site actuel — description de la fiche;;
plat-60x5mm-en-acier-lamine-a-chaud;Plat 60x5mm en acier laminé à chaud;plat;finition;BRUT;;vraie photo du site actuel (plats, groupes G026 et G028) — non affichée;oui;
plat-60x8mm-en-acier-lamine-a-chaud;Plat 60x8mm en acier laminé à chaud;plat;serie;PLAT;;nom du produit;;
plat-60x8mm-en-acier-lamine-a-chaud;Plat 60x8mm en acier laminé à chaud;plat;b;60;mm;nom du produit;;
plat-60x8mm-en-acier-lamine-a-chaud;Plat 60x8mm en acier laminé à chaud;plat;t;8;mm;nom du produit;;
plat-60x8mm-en-acier-lamine-a-chaud;Plat 60x8mm en acier laminé à chaud;plat;poids;3,86;kg/m;site actuel — fiche produit;;
plat-60x8mm-en-acier-lamine-a-chaud;Plat 60x8mm en acier laminé à chaud;plat;procede;Laminé à chaud;;site actuel — description de la fiche;;
plat-60x8mm-en-acier-lamine-a-chaud;Plat 60x8mm en acier laminé à chaud;plat;finition;BRUT;;vraie photo du site actuel (plats, groupes G026 et G028) — non affichée;oui;
plat-70x10mm-en-acier-lamine-a-chaud;Plat 70x10mm en acier laminé à chaud;plat;serie;PLAT;;nom du produit;;
plat-70x10mm-en-acier-lamine-a-chaud;Plat 70x10mm en acier laminé à chaud;plat;b;70;mm;nom du produit;;
plat-70x10mm-en-acier-lamine-a-chaud;Plat 70x10mm en acier laminé à chaud;plat;t;10;mm;nom du produit;;
plat-70x10mm-en-acier-lamine-a-chaud;Plat 70x10mm en acier laminé à chaud;plat;poids;5,63;kg/m;site actuel — fiche produit;;
plat-70x10mm-en-acier-lamine-a-chaud;Plat 70x10mm en acier laminé à chaud;plat;procede;Laminé à chaud;;site actuel — description de la fiche;;
plat-70x10mm-en-acier-lamine-a-chaud;Plat 70x10mm en acier laminé à chaud;plat;finition;BRUT;;vraie photo du site actuel (plats, groupes G026 et G028) — non affichée;oui;
plat-80x10mm-en-acier-lamine-a-chaud;Plat 80x10mm en acier laminé à chaud;plat;serie;PLAT;;nom du produit;;poids site 7.72 kg/m ≠ théorique 6.28 kg/m (écart > 3 %) : non affiché
plat-80x10mm-en-acier-lamine-a-chaud;Plat 80x10mm en acier laminé à chaud;plat;b;80;mm;nom du produit;;poids site 7.72 kg/m ≠ théorique 6.28 kg/m (écart > 3 %) : non affiché
plat-80x10mm-en-acier-lamine-a-chaud;Plat 80x10mm en acier laminé à chaud;plat;t;10;mm;nom du produit;;poids site 7.72 kg/m ≠ théorique 6.28 kg/m (écart > 3 %) : non affiché
plat-80x10mm-en-acier-lamine-a-chaud;Plat 80x10mm en acier laminé à chaud;plat;poids;7,72;kg/m;site actuel — fiche produit — écart > 3 % avec le poids théorique 6.28 kg/m, non affiché (questions en attente);oui;poids site 7.72 kg/m ≠ théorique 6.28 kg/m (écart > 3 %) : non affiché
plat-80x10mm-en-acier-lamine-a-chaud;Plat 80x10mm en acier laminé à chaud;plat;procede;Laminé à chaud;;site actuel — description de la fiche;;poids site 7.72 kg/m ≠ théorique 6.28 kg/m (écart > 3 %) : non affiché
plat-80x10mm-en-acier-lamine-a-chaud;Plat 80x10mm en acier laminé à chaud;plat;finition;BRUT;;vraie photo du site actuel (plats, groupes G026 et G028) — non affichée;oui;poids site 7.72 kg/m ≠ théorique 6.28 kg/m (écart > 3 %) : non affiché
plat-80x8mm-en-acier-lamine-a-chaud;Plat 80x8mm en acier laminé à chaud;plat;serie;PLAT;;nom du produit;;poids site 6.43 kg/m ≠ théorique 5.02 kg/m (écart > 3 %) : non affiché
plat-80x8mm-en-acier-lamine-a-chaud;Plat 80x8mm en acier laminé à chaud;plat;b;80;mm;nom du produit;;poids site 6.43 kg/m ≠ théorique 5.02 kg/m (écart > 3 %) : non affiché
plat-80x8mm-en-acier-lamine-a-chaud;Plat 80x8mm en acier laminé à chaud;plat;t;8;mm;nom du produit;;poids site 6.43 kg/m ≠ théorique 5.02 kg/m (écart > 3 %) : non affiché
plat-80x8mm-en-acier-lamine-a-chaud;Plat 80x8mm en acier laminé à chaud;plat;poids;6,43;kg/m;site actuel — fiche produit — écart > 3 % avec le poids théorique 5.02 kg/m, non affiché (questions en attente);oui;poids site 6.43 kg/m ≠ théorique 5.02 kg/m (écart > 3 %) : non affiché
plat-80x8mm-en-acier-lamine-a-chaud;Plat 80x8mm en acier laminé à chaud;plat;procede;Laminé à chaud;;site actuel — description de la fiche;;poids site 6.43 kg/m ≠ théorique 5.02 kg/m (écart > 3 %) : non affiché
plat-80x8mm-en-acier-lamine-a-chaud;Plat 80x8mm en acier laminé à chaud;plat;finition;BRUT;;vraie photo du site actuel (plats, groupes G026 et G028) — non affichée;oui;poids site 6.43 kg/m ≠ théorique 5.02 kg/m (écart > 3 %) : non affiché
poutrelle-hea-100-en-acier;Poutrelle HEA 100 en acier;poutrelle-hea;serie;HEA;;nom du produit;;
poutrelle-hea-100-en-acier;Poutrelle HEA 100 en acier;poutrelle-hea;h;96;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-100-en-acier;Poutrelle HEA 100 en acier;poutrelle-hea;b;100;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-100-en-acier;Poutrelle HEA 100 en acier;poutrelle-hea;tw;5;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-100-en-acier;Poutrelle HEA 100 en acier;poutrelle-hea;tf;8;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-100-en-acier;Poutrelle HEA 100 en acier;poutrelle-hea;r;12;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-100-en-acier;Poutrelle HEA 100 en acier;poutrelle-hea;poids;17,1;kg/m;site actuel — fiche produit;;
poutrelle-hea-100-en-acier;Poutrelle HEA 100 en acier;poutrelle-hea;finition;GPP;;site actuel — option de la fiche;;
poutrelle-hea-100-en-acier;Poutrelle HEA 100 en acier;poutrelle-hea;longueurs;1 / 2 / 3 / 4 / 5 / 6;m;site actuel — option de la fiche;;
poutrelle-hea-120-en-acier;Poutrelle HEA 120 en acier;poutrelle-hea;serie;HEA;;nom du produit;;
poutrelle-hea-120-en-acier;Poutrelle HEA 120 en acier;poutrelle-hea;h;114;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-120-en-acier;Poutrelle HEA 120 en acier;poutrelle-hea;b;120;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-120-en-acier;Poutrelle HEA 120 en acier;poutrelle-hea;tw;5;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-120-en-acier;Poutrelle HEA 120 en acier;poutrelle-hea;tf;8;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-120-en-acier;Poutrelle HEA 120 en acier;poutrelle-hea;r;12;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-120-en-acier;Poutrelle HEA 120 en acier;poutrelle-hea;poids;20,38;kg/m;site actuel — fiche produit;;
poutrelle-hea-120-en-acier;Poutrelle HEA 120 en acier;poutrelle-hea;finition;GPP;;site actuel — option de la fiche;;
poutrelle-hea-120-en-acier;Poutrelle HEA 120 en acier;poutrelle-hea;longueurs;1 / 2 / 3 / 4 / 5 / 6;m;site actuel — option de la fiche;;
poutrelle-hea-140-en-acier;Poutrelle HEA 140 en acier;poutrelle-hea;serie;HEA;;nom du produit;;
poutrelle-hea-140-en-acier;Poutrelle HEA 140 en acier;poutrelle-hea;h;133;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-140-en-acier;Poutrelle HEA 140 en acier;poutrelle-hea;b;140;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-140-en-acier;Poutrelle HEA 140 en acier;poutrelle-hea;tw;5,5;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-140-en-acier;Poutrelle HEA 140 en acier;poutrelle-hea;tf;8,5;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-140-en-acier;Poutrelle HEA 140 en acier;poutrelle-hea;r;12;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-140-en-acier;Poutrelle HEA 140 en acier;poutrelle-hea;poids;25,3;kg/m;site actuel — fiche produit;;
poutrelle-hea-140-en-acier;Poutrelle HEA 140 en acier;poutrelle-hea;finition;GPP;;site actuel — option de la fiche;;
poutrelle-hea-140-en-acier;Poutrelle HEA 140 en acier;poutrelle-hea;longueurs;1 / 2 / 3 / 4 / 5 / 6;m;site actuel — option de la fiche;;
poutrelle-hea-160-en-acier;Poutrelle HEA 160 en acier;poutrelle-hea;serie;HEA;;nom du produit;;
poutrelle-hea-160-en-acier;Poutrelle HEA 160 en acier;poutrelle-hea;h;152;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-160-en-acier;Poutrelle HEA 160 en acier;poutrelle-hea;b;160;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-160-en-acier;Poutrelle HEA 160 en acier;poutrelle-hea;tw;6;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-160-en-acier;Poutrelle HEA 160 en acier;poutrelle-hea;tf;9;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-160-en-acier;Poutrelle HEA 160 en acier;poutrelle-hea;r;15;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-160-en-acier;Poutrelle HEA 160 en acier;poutrelle-hea;poids;31,14;kg/m;site actuel — fiche produit;;
poutrelle-hea-160-en-acier;Poutrelle HEA 160 en acier;poutrelle-hea;finition;GPP;;site actuel — option de la fiche;;
poutrelle-hea-160-en-acier;Poutrelle HEA 160 en acier;poutrelle-hea;longueurs;1 / 2 / 3 / 4 / 5 / 6;m;site actuel — option de la fiche;;
poutrelle-hea-180-en-acier;Poutrelle HEA 180 en acier;poutrelle-hea;serie;HEA;;nom du produit;;
poutrelle-hea-180-en-acier;Poutrelle HEA 180 en acier;poutrelle-hea;h;171;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-180-en-acier;Poutrelle HEA 180 en acier;poutrelle-hea;b;180;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-180-en-acier;Poutrelle HEA 180 en acier;poutrelle-hea;tw;6;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-180-en-acier;Poutrelle HEA 180 en acier;poutrelle-hea;tf;9,5;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-180-en-acier;Poutrelle HEA 180 en acier;poutrelle-hea;r;15;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-180-en-acier;Poutrelle HEA 180 en acier;poutrelle-hea;poids;36,36;kg/m;site actuel — fiche produit;;
poutrelle-hea-180-en-acier;Poutrelle HEA 180 en acier;poutrelle-hea;finition;GPP;;site actuel — option de la fiche;;
poutrelle-hea-180-en-acier;Poutrelle HEA 180 en acier;poutrelle-hea;longueurs;1 / 2 / 3 / 4 / 5 / 6;m;site actuel — option de la fiche;;
poutrelle-hea-200-en-acier;Poutrelle HEA 200 en acier;poutrelle-hea;serie;HEA;;nom du produit;;
poutrelle-hea-200-en-acier;Poutrelle HEA 200 en acier;poutrelle-hea;h;190;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-200-en-acier;Poutrelle HEA 200 en acier;poutrelle-hea;b;200;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-200-en-acier;Poutrelle HEA 200 en acier;poutrelle-hea;tw;6,5;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-200-en-acier;Poutrelle HEA 200 en acier;poutrelle-hea;tf;10;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-200-en-acier;Poutrelle HEA 200 en acier;poutrelle-hea;r;18;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-200-en-acier;Poutrelle HEA 200 en acier;poutrelle-hea;poids;43,32;kg/m;site actuel — fiche produit;;
poutrelle-hea-200-en-acier;Poutrelle HEA 200 en acier;poutrelle-hea;finition;GPP;;site actuel — option de la fiche;;
poutrelle-hea-200-en-acier;Poutrelle HEA 200 en acier;poutrelle-hea;longueurs;1 / 2 / 3 / 4 / 5 / 6;m;site actuel — option de la fiche;;
poutrelle-hea-220-en-acier;Poutrelle HEA 220 en acier;poutrelle-hea;serie;HEA;;nom du produit;;
poutrelle-hea-220-en-acier;Poutrelle HEA 220 en acier;poutrelle-hea;h;210;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-220-en-acier;Poutrelle HEA 220 en acier;poutrelle-hea;b;220;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-220-en-acier;Poutrelle HEA 220 en acier;poutrelle-hea;tw;7;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-220-en-acier;Poutrelle HEA 220 en acier;poutrelle-hea;tf;11;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-220-en-acier;Poutrelle HEA 220 en acier;poutrelle-hea;r;18;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-220-en-acier;Poutrelle HEA 220 en acier;poutrelle-hea;poids;51,72;kg/m;site actuel — fiche produit;;
poutrelle-hea-220-en-acier;Poutrelle HEA 220 en acier;poutrelle-hea;finition;GPP;;site actuel — option de la fiche;;
poutrelle-hea-220-en-acier;Poutrelle HEA 220 en acier;poutrelle-hea;longueurs;1 / 2 / 3 / 4 / 5 / 6;m;site actuel — option de la fiche;;
poutrelle-hea-240-en-acier;Poutrelle HEA 240 en acier;poutrelle-hea;serie;HEA;;nom du produit;;
poutrelle-hea-240-en-acier;Poutrelle HEA 240 en acier;poutrelle-hea;h;230;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-240-en-acier;Poutrelle HEA 240 en acier;poutrelle-hea;b;240;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-240-en-acier;Poutrelle HEA 240 en acier;poutrelle-hea;tw;7,5;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-240-en-acier;Poutrelle HEA 240 en acier;poutrelle-hea;tf;12;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-240-en-acier;Poutrelle HEA 240 en acier;poutrelle-hea;r;21;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-240-en-acier;Poutrelle HEA 240 en acier;poutrelle-hea;poids;61,76;kg/m;site actuel — fiche produit;;
poutrelle-hea-240-en-acier;Poutrelle HEA 240 en acier;poutrelle-hea;finition;GPP;;site actuel — option de la fiche;;
poutrelle-hea-240-en-acier;Poutrelle HEA 240 en acier;poutrelle-hea;longueurs;1 / 2 / 3 / 4 / 5 / 6;m;site actuel — option de la fiche;;
poutrelle-hea-260-en-acier;Poutrelle HEA 260 en acier;poutrelle-hea;serie;HEA;;nom du produit;;
poutrelle-hea-260-en-acier;Poutrelle HEA 260 en acier;poutrelle-hea;h;250;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-260-en-acier;Poutrelle HEA 260 en acier;poutrelle-hea;b;260;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-260-en-acier;Poutrelle HEA 260 en acier;poutrelle-hea;tw;7,5;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-260-en-acier;Poutrelle HEA 260 en acier;poutrelle-hea;tf;12,5;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-260-en-acier;Poutrelle HEA 260 en acier;poutrelle-hea;r;24;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-260-en-acier;Poutrelle HEA 260 en acier;poutrelle-hea;poids;69,85;kg/m;site actuel — fiche produit;;
poutrelle-hea-260-en-acier;Poutrelle HEA 260 en acier;poutrelle-hea;finition;GPP;;site actuel — option de la fiche;;
poutrelle-hea-260-en-acier;Poutrelle HEA 260 en acier;poutrelle-hea;longueurs;1 / 2 / 3 / 4 / 5 / 6;m;site actuel — option de la fiche;;
poutrelle-hea-280-en-acier;Poutrelle HEA 280 en acier;poutrelle-hea;serie;HEA;;nom du produit;;
poutrelle-hea-280-en-acier;Poutrelle HEA 280 en acier;poutrelle-hea;h;270;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-280-en-acier;Poutrelle HEA 280 en acier;poutrelle-hea;b;280;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-280-en-acier;Poutrelle HEA 280 en acier;poutrelle-hea;tw;8;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-280-en-acier;Poutrelle HEA 280 en acier;poutrelle-hea;tf;13;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-280-en-acier;Poutrelle HEA 280 en acier;poutrelle-hea;r;24;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-280-en-acier;Poutrelle HEA 280 en acier;poutrelle-hea;poids;78,25;kg/m;site actuel — fiche produit;;
poutrelle-hea-280-en-acier;Poutrelle HEA 280 en acier;poutrelle-hea;finition;GPP;;site actuel — option de la fiche;;
poutrelle-hea-280-en-acier;Poutrelle HEA 280 en acier;poutrelle-hea;longueurs;1 / 2 / 3 / 4 / 5 / 6;m;site actuel — option de la fiche;;
poutrelle-hea-300-en-acier;Poutrelle HEA 300 en acier;poutrelle-hea;serie;HEA;;nom du produit;;
poutrelle-hea-300-en-acier;Poutrelle HEA 300 en acier;poutrelle-hea;h;290;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-300-en-acier;Poutrelle HEA 300 en acier;poutrelle-hea;b;300;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-300-en-acier;Poutrelle HEA 300 en acier;poutrelle-hea;tw;8,5;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-300-en-acier;Poutrelle HEA 300 en acier;poutrelle-hea;tf;14;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-300-en-acier;Poutrelle HEA 300 en acier;poutrelle-hea;r;27;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEA.pdf;;
poutrelle-hea-300-en-acier;Poutrelle HEA 300 en acier;poutrelle-hea;poids;90,44;kg/m;site actuel — fiche produit;;
poutrelle-hea-300-en-acier;Poutrelle HEA 300 en acier;poutrelle-hea;finition;GPP;;site actuel — option de la fiche;;
poutrelle-hea-300-en-acier;Poutrelle HEA 300 en acier;poutrelle-hea;longueurs;1 / 2 / 3 / 4 / 5 / 6;m;site actuel — option de la fiche;;
poutrelle-heb-100-en-acier;Poutrelle HEB 100 en acier;poutrelle-heb;serie;HEB;;nom du produit;;
poutrelle-heb-100-en-acier;Poutrelle HEB 100 en acier;poutrelle-heb;h;100;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEB.pdf;;
poutrelle-heb-100-en-acier;Poutrelle HEB 100 en acier;poutrelle-heb;b;100;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEB.pdf;;
poutrelle-heb-100-en-acier;Poutrelle HEB 100 en acier;poutrelle-heb;tw;6;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEB.pdf;;
poutrelle-heb-100-en-acier;Poutrelle HEB 100 en acier;poutrelle-heb;tf;10;mm;fiche fournisseur VM 2013 — INFOSTEEL - GRYMAFER - VM2013 - HEB.pdf;;
